name,surname,party,image_url,image_path
Jens,Spahn,CDU/CSU,https://www.bundestag.de/resource/image/1053088/3x4/432/576/e495611888a4180abb93ad37ba02b05b/3FCA93B0E5C2410998339FBF28C88405/spahn_jens_gross.jpg,party_members/CDU_CSU/spahn_jens.jpg
Alexander,Hoffmann,CDU/CSU,https://www.bundestag.de/resource/image/1052688/3x4/432/576/84738f59a366f26d0c36f246da5c83c4/56E8095EAABB1860819A14CF82B09C11/hoffmann_alexander_gross.jpg,party_members/CDU_CSU/hoffmann_alexander.jpg
Andreas,Jung,CDU/CSU,https://www.bundestag.de/resource/image/1052704/3x4/432/576/3101b22953f1a3fc73a7b554ed25c955/9659AC51179CD989FE1BDC8DAB83D5E3/jung_andreas_gross.jpg,party_members/CDU_CSU/jung_andreas.jpg
Ronja,Kemmer,CDU/CSU,https://www.bundestag.de/resource/image/1050512/3x4/432/576/946cad1fc4cb86287f9b9b62830f52a7/ADBBBB7BBAF55991F630796F025C36CF/kemmer_ronja.jpg,party_members/CDU_CSU/kemmer_ronja.jpg
Dr.,Günter Krings,CDU/CSU,https://www.bundestag.de/resource/image/1052744/3x4/432/576/6d890e1a096bdf8f75de68e6e4f0e997/C761EB29E4D79B87021AD5670347228A/krings_guenter_gross.jpg,party_members/CDU_CSU/günter_krings_dr..jpg
Carsten,Linnemann,CDU/CSU,https://www.bundestag.de/resource/image/1052824/3x4/432/576/3e84446bd8da0b05fa8ba95483d5add0/001BF3241F00D7370745E145D48AC3E6/linnemann_carsten_gross.jpg,party_members/CDU_CSU/linnemann_carsten.jpg
Patricia,Lips,CDU/CSU,https://www.bundestag.de/resource/image/1052858/3x4/432/576/a5252a593e37f54be96fe1d054e0dda8/77BE15FFE0ED253A803993748BBC25D5/lips_patricia_gross.jpg,party_members/CDU_CSU/lips_patricia.jpg
Mathias,Middelberg,CDU/CSU,https://www.bundestag.de/resource/image/1052898/3x4/432/576/438e7ce47ac820173117a9280c9503ea/7D41938DE4269EE221C92B4FC51C297E/Middelberg_Mathias_gross.jpg,party_members/CDU_CSU/middelberg_mathias.jpg
Sepp,Müller,CDU/CSU,https://www.bundestag.de/resource/image/1050576/3x4/432/576/5f5f0a276e40fe8b6f7150440074c013/2EC20E096458D81F4BEFE8001E44297A/mueller_sepp.jpg,party_members/CDU_CSU/müller_sepp.jpg
Norbert,Röttgen,CDU/CSU,https://www.bundestag.de/resource/image/1053016/3x4/432/576/c8945f52501801f875cb41f5da02d029/4BF9EA65D74036419C2073C9269AEC9D/roettgen_norbert_gross.jpg,party_members/CDU_CSU/röttgen_norbert.jpg
Albert,Stegemann,CDU/CSU,https://www.bundestag.de/resource/image/1056276/3x4/432/576/6d478249a26232f5c40a51508a55a20d/89A4600692A03878FF09528183E0A86D/stegemann_albert_gross.jpg,party_members/CDU_CSU/stegemann_albert.jpg
Stephan,Stracke,CDU/CSU,https://www.bundestag.de/resource/image/1053154/3x4/432/576/104abcced7aa87348f621ee64dbf3bb1/F80042A4B644A5115CDDF1829592B8C2/stracke_stephan_gross.jpg,party_members/CDU_CSU/stracke_stephan.jpg
Anja,Weisgerber,CDU/CSU,Not found,
Steffen,Bilger,CDU/CSU,https://www.bundestag.de/resource/image/1050086/3x4/432/576/107fe4cfdcf0aa12711b5db7b2da48d3/3F26BF893F490FC8D2E97E0BDE5EE5DA/bilger_steffen.jpg,party_members/CDU_CSU/bilger_steffen.jpg
Reinhard,Brandl,CDU/CSU,https://www.bundestag.de/resource/image/1052420/3x4/432/576/d697b42c1ec7a6f6b6a9b1bc59c35c26/22CB908EBB624F976255BFE5470F4610/brandl_reinhard_gross.jpg,party_members/CDU_CSU/brandl_reinhard.jpg
Hendrik,Hoppenstedt,CDU/CSU,https://www.bundestag.de/resource/image/1052682/3x4/432/576/41480c5febf6018aa54dd32b047c603/641D1101CEF97CC7986ABC84F24125D5/hoppenstedt_hendrik_gross.jpg,party_members/CDU_CSU/hoppenstedt_hendrik.jpg
Catarina,dos Santos-Wintz,CDU/CSU,https://www.bundestag.de/resource/image/1053054/3x4/432/576/c1dbbbcffa27ccb6ae049c5d772bd8c0/A7F73F00246F621181972FE114305B7F/santos_wintz_catarina.jpg,party_members/CDU_CSU/dos_santos-wintz_catarina.jpg
Felix,Schreiner,CDU/CSU,https://www.bundestag.de/resource/image/1053150/3x4/432/576/8a257cbb7eac36eca5d314cdbf30a9ac/58B7C5B19092BDE44EFA3508D77CDCE9/schreiner_felix_gross.jpg,party_members/CDU_CSU/schreiner_felix.jpg
Ansgar,Heveling,CDU/CSU,https://www.bundestag.de/resource/image/1052702/3x4/432/576/599f2b2a169205c2f48971feff2b190a/1ABD65675EF1237552B0C17647108F00/heveling_ansgar_gross.jpg,party_members/CDU_CSU/heveling_ansgar.jpg
Thomas,Silberhorn,CDU/CSU,https://www.bundestag.de/resource/image/1053082/3x4/432/576/5dbb516e307c732b15550d651da716b9/21FCF60809810FA30D47CBA66DD3729E/silberhorn_thomas_gross.jpg,party_members/CDU_CSU/silberhorn_thomas.jpg
Matthias,Miersch,SPD,Not found,
Siemtje,Möller,SPD,https://www.bundestag.de/resource/image/1050200/3x4/432/576/42ef756afb98529352eaf2f5b4ff2785/691BFA434387F4D96F40FF9B0B9256A4/moeller_siemtje.png,party_members/SPD/möller_siemtje.jpg
Armand,Zorn,SPD,https://www.bundestag.de/resource/image/1053298/3x4/432/576/3b2b462c32567b2694a533a648c6675d/6598E69F9A9590C995297CAE6ADA4883/zorn_armand.jpg,party_members/SPD/zorn_armand.jpg
Wiebke,Esdar,SPD,https://www.bundestag.de/resource/image/1050234/3x4/432/576/972f653d2a2fc009603f477908f6af6a/0D901AFC4104D46781A3143E4D8B2C8B/esdar_wiebke.jpg,party_members/SPD/esdar_wiebke.jpg
Sonja,Eichwede,SPD,https://www.bundestag.de/resource/image/1050208/3x4/432/576/49bb93ceb9469f7c4c3e3c28932c5735/627A477EDDDA9B2D7C86A482A4BD5000/eichwede_sonja.jpg,party_members/SPD/eichwede_sonja.jpg
Dagmar,Schmidt,SPD,https://www.bundestag.de/resource/image/1050950/3x4/432/576/8816d6ff4c6f9315d26fd970158f50d6/3AE4C70C6F33B76DD97BFFCC851099C4/schmidt_dagmar.jpg,party_members/SPD/schmidt_dagmar.jpg
Esra,Limbacher,SPD,Not found,
Dirk,Wiese,SPD,https://www.bundestag.de/resource/image/1050210/3x4/432/576/5ac0230ce3dd5b630d66360fb1cb2f9e/20185B9B3FD5CE76C2E744B8BAEC79C1/wiese_dirk.jpg,party_members/SPD/wiese_dirk.jpg
Derya,Türk-Nachbaur,SPD,https://www.bundestag.de/resource/image/1053206/3x4/432/576/fae45d101c3201869d98873173b75a91/DC6E6ADC5C098EEB35CAE915431FF607/tuerk_nachbaur_derya_bild.jpg,party_members/SPD/türk-nachbaur_derya.jpg
Marja-Liisa,Völlers,SPD,https://www.bundestag.de/resource/image/1050866/3x4/432/576/8e989cd60c0a792baaf17dd868abca04/548C44547F368C496A4BF9EA3290C558/voellers_marja.jpg,party_members/SPD/völlers_marja-liisa.jpg
Johannes,Fechner,SPD,https://www.bundestag.de/resource/image/1052560/3x4/432/576/2c1c140c1b0cfcdb3fc2df27062e6beb/D32E8E4F28B6DC27FB3B42DED6702203/fechner_johannes_gross.jpg,party_members/SPD/fechner_johannes.jpg
Tino,Chrupalla,AFD,https://www.bundestag.de/resource/image/1052472/3x4/432/576/b7445167dc22719c43ba4d2b2a97a55e/F4A4B9DD25B6BA4C2354F84188B47C42/chrupalla_tino_gross.jpg,party_members/AFD/chrupalla_tino.jpg
Alice,Weidel,AFD,https://www.bundestag.de/resource/image/1053272/3x4/432/576/eb0081487315de38e407003798bcec2d/260E791D14F65393D055376AE3F9D9E4/weidel_alice_gross.jpg,party_members/AFD/weidel_alice.jpg
Bernd,Baumann,AFD,Not found,
Stephan,Brandner,AFD,https://www.bundestag.de/resource/image/1052392/3x4/432/576/3c150825c938f5545f44816d99db7e9c/870FA9D5E61179E19B295624D54B6979/brandner_stephan_gross.jpg,party_members/AFD/brandner_stephan.jpg
Peter,Felser,AFD,https://www.bundestag.de/resource/image/1052542/3x4/432/576/7e56f0b60bc8b33144b0f8c944ce28b8/B6C04E07659103B9E7B0F80A54737E2F/felser_peter_bild.jpg,party_members/AFD/felser_peter.jpg
Götz,Frömming,AFD,Not found,
Enrico,Komning,AFD,https://www.bundestag.de/resource/image/1052734/3x4/432/576/15c35cf198ae8fdd39683e181b7549d7/BAD9494E16D4904DF581FC011098BEC7/komning_enrico_gross.jpg,party_members/AFD/komning_enrico.jpg
